KKR1_ID,x,y,lab_diag,animal
136,99.309458,18.703377,FMD,beef
137,104.678633,17.50878,FMD,beef
138,99.549338,14.037839,FMD,beef
142,101.378162,14.88546,FMD,dairy
206,99.701157,11.903405,FMD,dairy
207,99.728417,11.756724,FMD,dairy
208,99.860805,12.596014,FMD,dairy
209,99.422413,11.009771,FMD,beef
210,99.527037,12.512598,FMD,dairy
221,100.854095,15.432344,FMD,beef
224,100.723145,15.069316,FMD,beef
260,99.816314,12.379517,FMD,beef
261,99.935367,12.353947,FMD,beef
262,104.648196,15.986689,FMD,beef
336,99.483965,17.983177,FMD,beef
348,99.016433,18.611751,FMD,dairy
351,99.167166,18.672584,FMD,beef
379,99.238337,18.512757,FMD,dairy
380,98.873336,18.480424,FMD,beef
388,102.03937,17.277588,FMD,beef
399,99.527037,12.512598,FMD,dairy
401,99.83349,13.919258,FMD,dairy
404,99.810813,13.741908,FMD,dairy
406,98.747338,18.426352,FMD,beef
407,101.22865,6.870394,FMD,beef
408,101.378162,14.88546,FMD,dairy
413,99.889042,13.910891,FMD,dairy
414,99.67193,11.708814,FMD,dairy
417,101.271343,14.896192,FMD,dairy
420,104.320276,15.806659,FMD,beef
421,99.030133,18.518988,FMD,beef
425,99.032058,8.231398,FMD,beef
426,99.88773,12.68068,FMD,dairy
430,101.271709,14.791818,FMD,dairy
433,101.500131,14.712872,FMD,beef
434,99.803202,12.652032,FMD,dairy
435,99.915268,6.810875,FMD,beef
439,100.030206,6.952089,FMD,beef
441,99.501101,12.652813,FMD,dairy
443,99.724268,12.698407,FMD,dairy
444,104.299118,15.082256,Brucellosis,beef
445,99.88773,12.68068,FMD,dairy
453,99.854827,13.708478,FMD,beef
462,99.697018,13.801496,FMD,beef
467,100.714984,15.240141,FMD,beef
477,101.330776,15.374836,FMD,beef
479,99.884997,14.023188,FMD,dairy
482,98.302551,8.344044,FMD,beef
483,101.362963,15.335737,FMD,dairy
484,97.71733,18.432708,FMD,beef
497,100.073784,13.727603,FMD,dairy
499,99.973986,13.761538,FMD,dairy
500,99.980829,14.023857,FMD,beef
501,99.929615,13.864615,FMD,beef
502,99.926314,16.96953,FMD,dairy
503,100.106607,13.8093,FMD,bull
504,99.913458,17.041493,FMD,beef
